Country,Year,PPP_T,PPP_I,GB_T,GB_I,MIVA,DCM,GFCFM,MFDI,treated,control,country_num,ln_PPP_T,ln_PPP_I,ln_GB_T,ln_GB_I,ln_MIVA,ln_DCM,ln_GFCFM,ln_MFDI
Angola,2015,2300,715,0,0,0.128,0.052,2354,621,1,0,1,7.740664959,6.572283745,-6.907755375,-6.907755375,-2.047942877,-2.937463284,7.76387167,6.431332588
Angola,2016,2500,776.5,0,0,0.094,0.05,1982,384,1,0,1,7.824046612,6.654798031,-6.907755375,-6.907755375,-2.353878498,-2.975929737,7.591862202,5.95064497
Angola,2017,2700,848,0,0,0.067,0.048,1623,243,1,0,1,7.901007652,6.742881775,-6.907755375,-6.907755375,-2.688247681,-3.015934944,7.392032146,5.493065357
Angola,2018,2900,924.5,0,0,0.065,0.046,1348,182,1,0,1,7.972466469,6.82925415,-6.907755375,-6.907755375,-2.718100548,-3.057607651,7.206377983,5.204012394
Angola,2019,3100,1001,0,0,0.071,0.044,1127,142,1,0,1,8.039157867,6.908755779,-6.907755375,-6.907755375,-2.631089211,-3.101092815,7.027315617,4.955833912
Angola,2020,3300,1077.5,0,0,0.067,0.042,842,87,1,0,1,8.101677895,6.98239994,-6.907755375,-6.907755375,-2.688247681,-3.146555185,6.735781193,4.465919495
Angola,2021,3500,1154,0,0,0.068,0.04,987,102,1,0,1,8.160518646,7.050990105,-6.907755375,-6.907755375,-2.673648834,-3.194183111,6.894670963,4.624982834
Angola,2022,3700,1230.5,0,750,0.074344,0.038,1142,121,1,0,1,8.216088295,7.115176678,-6.907755375,6.620074749,-2.585690975,-3.244193554,7.040537357,4.795798779
Brazil,2015,10200,1500,380,0,0.1052,0.154,122100,21300,1,0,2,9.230143547,7.313220978,5.940174103,-6.907755375,-2.242431164,-1.864330173,11.71259594,9.966462135
Brazil,2016,13800,2200,550,0,0.1079,0.122,83200,18200,1,0,2,9.532423973,7.696213245,6.309920311,-6.907755375,-2.217325211,-2.095571041,11.32900238,9.809177399
Brazil,2017,18300,2900,400,0,0.1072,0.094,68300,16400,1,0,2,9.814656258,7.972466469,5.991466999,-6.907755375,-2.223773956,-2.353878498,11.13166523,9.705037117
Brazil,2018,23400,3600,800,0,0.1053,0.078,72400,14800,1,0,2,10.06049156,8.188689232,6.684612751,-6.907755375,-2.241489887,-2.538307428,11.18996143,9.60238266
Brazil,2019,28500,4300,1350,0,0.1033,0.064,64200,12700,1,0,2,10.25765896,8.366370201,7.20786047,-6.907755375,-2.26048398,-2.73336792,11.06975842,9.449357033
Brazil,2020,33600,5000,5720,0,0.1069,0.058,51300,8900,1,0,2,10.42228127,8.517193794,8.651723862,-6.907755375,-2.226550341,-2.830217838,10.84544563,9.093806267
Brazil,2021,38700,5700,11654,132,0.1022,0.062,61500,10400,1,0,2,10.56359482,8.64822197,9.363405228,4.882809639,-2.271086454,-2.764620543,11.02679253,9.24956131
Brazil,2022,43800,6400,337,0,0.1112,0.066,69800,12100,1,0,2,10.68738937,8.764053345,5.820086002,-6.907755375,-2.187472343,-2.703062773,11.15338898,9.400960922
Cameroon,2015,750,250,0,0,0.124,0.088,1302,221,1,0,3,6.620074749,5.521464825,-6.907755375,-6.907755375,-2.079441547,-2.419118881,7.171657562,5.398167133
Cameroon,2016,820,280,0,0,0.124,0.085,1387,184,1,0,3,6.709305763,5.634793282,-6.907755375,-6.907755375,-2.079441547,-2.453408003,7.234899044,5.214941025
Cameroon,2017,900,310,0,0,0.124,0.082,1476,162,1,0,3,6.802395821,5.736575603,-6.907755375,-6.907755375,-2.079441547,-2.488914728,7.297091484,5.087602615
Cameroon,2018,980,340,0,0,0.124,0.08,1569,143,1,0,3,6.887553692,5.828948498,-6.907755375,-6.907755375,-2.079441547,-2.513306141,7.358194351,4.962851524
Cameroon,2019,1060,370,0,0,0.124,0.078,1666,125,1,0,3,6.966025352,5.913505554,-6.907755375,-6.907755375,-2.079441547,-2.538307428,7.418181419,4.828321934
Cameroon,2020,1140,400,0,0,0.129,0.074,1523,87,1,0,3,7.038784504,5.991466999,-6.907755375,-6.907755375,-2.040220737,-2.590267181,7.328437805,4.465919495
Cameroon,2021,1220,430,176,0,0.131,0.071,1638,98,1,0,3,7.10660696,6.06378746,5.170489788,-6.907755375,-2.024953365,-2.631089211,7.401231766,4.584977627
Cameroon,2022,1300,460,0,0,0.129,0.068,1756,112,1,0,3,7.170120239,6.131228447,-6.907755375,-6.907755375,-2.040220737,-2.673648834,7.470794201,4.718507767
Chad,2015,0,0,0,0,0.034,0.051,432,61,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.352407217,-2.956511497,6.06842804,4.110890388
Chad,2016,0,0,0,0,0.032,0.042,378,43,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.41124773,-3.146555185,5.934896946,3.761223316
Chad,2017,0,0,0,0,0.03,0.037,334,32,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.473767996,-3.27016902,5.811143875,3.465767145
Chad,2018,0,0,0,0,0.028,0.032,298,24,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.540459394,-3.41124773,5.697096825,3.178095579
Chad,2019,0,0,0,0,0.026,0.028,268,18,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.611918449,-3.540459394,5.590990543,2.890427351
Chad,2020,0,0,0,0,0.024,0.024,203,14,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.68887949,-3.68887949,5.313210964,2.639128685
Chad,2021,0,0,0,0,0.022,0.021,244,16,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.772261143,-3.816712856,5.497172356,2.772651196
Chad,2022,0,0,0,0,0.02,0.018,286,19,0,1,4,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.863232851,-3.963316202,5.655995369,2.944491625
China,2015,66500,33250,76400,3627,0.284,0.542,2981542,124000,1,0,5,11.10495758,10.41180992,11.24373817,8.19616127,-1.25526607,-0.61064595,14.90795135,11.72803688
China,2016,71100,35550,67800,4803,0.281,0.519,3186185,126000,1,0,5,11.17184258,10.47869587,11.12431717,8.476996422,-1.26584816,-0.653926492,14.97433472,11.74403763
China,2017,75800,37900,81000,4312,0.277,0.496,3419123,134000,1,0,5,11.2358532,10.54270649,11.30220413,8.369157791,-1.280134201,-0.699165225,15.04489422,11.8055954
