"Subgroup","Outcome","N_obs","N_treated","N_control","Coefficient","Std_Error","Z_Statistic","P_value","CI_Lower","CI_Upper","CF_SD","Significant"
"Low_Baseline_Capacity","ln_MIVA",128,48,80,2.13709195384598,1.68502992532746,1.26828130570481,0.204697510588934,-1.16556669979583,5.43975060748779,0.860849729519481,"No"
"Late_Period","ln_MIVA",124,80,44,0.941238149821453,0.135929294703515,6.92446872379097,4.37605507386252e-12,0.674816732202564,1.20765956744034,0.108800442820447,"Yes"
"Early_Period","ln_MIVA",124,80,44,0.534909500096307,0.108657129166579,4.92291213838582,8.52657410899127e-07,0.321941526929813,0.747877473262802,0.161439108762223,"Yes"
"Low_Baseline_Credit","ln_MIVA",136,56,80,1.43243344162749,1.13387442503913,1.26330871390636,0.206478255840262,-0.789960431449199,3.65482731470418,1.03542606764598,"No"
"Low_Baseline_Capacity","ln_DCM",128,48,80,1.36242341651383,1.64223891348813,0.829613404799929,0.406757395381925,-1.85636485392291,4.58121168695056,1.84058252437975,"No"
"Late_Period","ln_DCM",124,80,44,0.774892951995508,0.228404402090518,3.39263580256397,0.000692236087806997,0.327220323898093,1.22256558009292,0.193564796491561,"Yes"
"Early_Period","ln_DCM",124,80,44,0.717310880063999,0.23098149756117,3.10549064595113,0.00189963629071577,0.264587144844105,1.17003461528389,0.317451665166615,"Yes"
"Low_Baseline_Credit","ln_DCM",136,56,80,4.48753436120967,3.98992021162648,1.12471781970305,0.260708628083366,-3.33270925357823,12.3077779759976,5.71321078292336,"No"
"Low_Baseline_Capacity","ln_GFCFM",128,48,80,-0.0738467066081068,1.4356504757596,-0.0514378031804952,0.958976662047865,-2.88772163909693,2.74002822588072,1.78255251063665,"No"
"Late_Period","ln_GFCFM",124,80,44,1.18254493279585,0.272896458871956,4.33330992158717,1.46884102933953e-05,0.647667873406817,1.71742199218488,0.894545487706992,"Yes"
"Early_Period","ln_GFCFM",124,80,44,0.877742652140797,0.301180659587986,2.91433936475717,0.00356442194924922,0.287428559348343,1.46805674493325,0.45159319212605,"Yes"
"Low_Baseline_Credit","ln_GFCFM",136,56,80,0.922995570067081,1.96845671650666,0.468892997406153,0.639146121911257,-2.93517959428597,4.78117073442013,1.48304989824629,"No"
"Low_Baseline_Capacity","ln_MFDI",128,48,80,2.39708879327389,3.35141478736886,0.715246827193182,0.474456538434576,-4.17168418996908,8.96586177651687,2.22025559977263,"No"
"Late_Period","ln_MFDI",124,80,44,2.09390182427606,0.363004062392939,5.76826003123207,8.009415797261e-09,1.3824138619859,2.80538978656622,0.360391476779341,"Yes"
"Early_Period","ln_MFDI",124,80,44,1.42092379155201,0.410531375090561,3.46118196505336,0.000537809157991731,0.616282296374507,2.22556528672951,0.585764014170636,"Yes"
"Low_Baseline_Credit","ln_MFDI",136,56,80,3.18151876642279,2.48036781687572,1.28268023184974,0.19960412834848,-1.68000215465363,8.04303968749921,3.00679175482697,"No"
