Target,Method,MSE,MAE,RMSE,CV_MSE,CV_MAE,CV_RMSE
ln_MIVA,DML (Random Forest),0.007712013,0.059622272,0.087818065,0.007712013,0.059622272,0.087818065
ln_MIVA,DML (Lasso),0.152212989,0.314976479,0.390144831,0.152212989,0.314976479,0.390144831
ln_MIVA,DML (Ridge),0.161214478,0.322037519,0.401515228,0.161214478,0.322037519,0.401515228
ln_DCM,DML (Random Forest),0.044961944,0.1502063,0.212042317,0.044961944,0.1502063,0.212042317
ln_DCM,DML (Lasso),0.356951066,0.482349254,0.597453819,0.356951066,0.482349254,0.597453819
ln_DCM,DML (Ridge),0.37363986,0.497923218,0.611260878,0.37363986,0.497923218,0.611260878
ln_GFCFM,DML (Random Forest),0.094790739,0.20010426,0.307881047,0.094790739,0.20010426,0.307881047
ln_GFCFM,DML (Lasso),0.61090606,0.578148243,0.781604798,0.61090606,0.578148243,0.781604798
ln_GFCFM,DML (Ridge),0.687990214,0.658308571,0.829451755,0.687990214,0.658308571,0.829451755
ln_MFDI,DML (Random Forest),0.036410737,0.134688851,0.190815976,0.036410737,0.134688851,0.190815976
ln_MFDI,DML (Lasso),0.636476282,0.670802899,0.797794637,0.636476282,0.670802899,0.797794637
ln_MFDI,DML (Ridge),0.710788411,0.686580412,0.843082683,0.710788411,0.686580412,0.843082683
