Target,Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,CF_SD
ln_MIVA,DML (Random Forest (tuned)),0.16254345585026847,0.0877643394469854,0.064019443435404,-0.00947464946582291,0.3345615611663598,0.050182947032000734
ln_MIVA,DML (Lasso (tuned)),0.4431269052622276,0.1340414319363178,9.467354376271331e-4,0.1804056986670447,0.7058481118574105,0.06569787610872933
ln_MIVA,DML (Ridge (tuned)),0.24893234762646133,0.08947943410208777,0.005402399465999963,0.0735526567863693,0.42431203846655335,0.015158266799602416
ln_DCM,DML (Random Forest (tuned)),0.273400692234415,0.22941309561237824,0.23336332884334143,-0.17624897516584637,0.7230503596346763,0.08977461429272657
ln_DCM,DML (Lasso (tuned)),0.2970364615742708,0.29355412411769777,0.3116037173296249,-0.2783296216964168,0.8724025448449584,0.09862041535386468
ln_DCM,DML (Ridge (tuned)),0.2342106508589507,0.17058884954048925,0.1697666338054935,-0.10014349424040819,0.5685647959583096,0.027677840958709076
ln_GFCFM,DML (Random Forest (tuned)),-0.6290792386044886,0.27391967746182966,0.021642576855411377,-1.1659618064296748,-0.09219667077930238,0.1610329407648928
ln_GFCFM,DML (Lasso (tuned)),-0.7991615535525175,0.2685988681556122,0.0029270448486633516,-1.3256153351375173,-0.2727077719675176,0.10565792506245997
ln_GFCFM,DML (Ridge (tuned)),-0.5679861906436278,0.20239606026549337,0.005011237699903193,-0.9646824687639948,-0.17128991252326076,0.02661015477238468
ln_MFDI,DML (Random Forest (tuned)),-0.6742737087354911,0.32006820117638296,0.03514737834452264,-1.3016073830412016,-0.04694003442978045,0.21765668943072497
ln_MFDI,DML (Lasso (tuned)),0.38217877248851184,0.3280482345811029,0.24401581034146114,-0.26079576729044984,1.0251533122674736,0.09358646909868551
ln_MFDI,DML (Ridge (tuned)),-0.05460186350712796,0.2182795088378802,0.8024740273704793,-0.48242970082937314,0.3732259738151172,0.036212898576042894
