Target,Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,CF_SD
ln_MIVA,DML (Random Forest),0.239193834,0.073006417,0.001051619,0.096101258,0.382286411,0.041363148
ln_MIVA,DML (Lasso),0.695183714,0.111193521,4.05E-10,0.477244412,0.913123015,0.022831553
ln_MIVA,DML (Ridge),0.817741046,0.094392826,0,0.632731108,1.002750985,0.011094858
ln_DCM,DML (Random Forest),0.395531716,0.2308124,0.086592988,-0.056860588,0.84792402,0.135643934
ln_DCM,DML (Lasso),0.954086326,0.130236195,2.37E-13,0.698823385,1.209349268,0.023478946
ln_DCM,DML (Ridge),1.068505964,0.109562676,0,0.85376312,1.283248809,0.015356207
ln_GFCFM,DML (Random Forest),0.239883341,0.111110762,0.030853515,0.022106247,0.457660434,0.086223931
ln_GFCFM,DML (Lasso),1.450760567,0.236212948,8.16E-10,0.98778319,1.913737945,0.058072507
ln_GFCFM,DML (Ridge),2.301589902,0.18438629,0,1.940192774,2.66298703,0.042033568
ln_MFDI,DML (Random Forest),0.947566387,0.291496984,0.001151252,0.376232298,1.518900477,0.228712847
ln_MFDI,DML (Lasso),1.497692286,0.294185842,3.56E-07,0.921088035,2.074296536,0.097810045
ln_MFDI,DML (Ridge),2.45514525,0.22620071,0,2.011791858,2.898498643,0.028979654
