"Variable","Label","Overall_Mean","Overall_SD","Overall_Median","Overall_Min","Overall_Max","Overall_N","Treated_Mean","Treated_SD","Treated_Median","Treated_N","Control_Mean","Control_SD","Control_Median","Control_N","Mean_Difference","Cohens_D","T_Test_P","T_Test_Sig","Wilcox_P","Wilcox_Sig","Var_Test_P"
"ln_MIVA","Manufacturing Value Added (ln)","-2.346","(0.641)","-2.243","-4.423","-1.255",248,"-2.024","(0.334)","-2.040",160,"-2.933","(0.650)","-2.726",88,"0.909","1.931","0.000","***","0.000","***","0.000"
"ln_DCM","Domestic Credit to Manufacturing (ln)","-2.358","(1.037)","-2.354","-6.215","-0.172",248,"-1.849","(0.776)","-2.052",160,"-3.284","(0.778)","-3.220",88,"1.435","1.847","0.000","***","0.000","***","0.963"
"ln_GFCFM","Gross Fixed Capital Formation (ln)","8.338","(3.155)","7.566","2.639","15.211",248,"9.981","(2.639)","9.923",160,"5.352","(1.246)","5.572",88,"4.629","2.060","0.000","***","0.000","***","0.000"
"ln_MFDI","Manufacturing FDI (ln)","6.780","(3.015)","5.965","1.946","12.373",248,"8.370","(2.472)","8.223",160,"3.891","(1.246)","3.749",88,"4.479","2.111","0.000","***","0.000","***","0.000"
"GDP_per_capita_2014","GDP per capita 2014 (USD)","11820.859","(18194.072)","1707.486","389.670","55153.394",248,"17364.112","(20594.882)","5931.366",160,"1742.215","(2319.069)","1242.735",88,"15621.897","0.940","0.000","***","0.000","***","0.000"
"Population_2014","Population 2014","141057922.194","(323552961.796)","28041592.000","4564293.000","1371860000.000",248,"210248120.500","(386007592.856)","65466033.500",160,"15257561.636","(9373800.431)","14188678.000",88,"194990558.864","0.628","0.000","***","0.000","***","0.000"
"Inflation_2014","Inflation 2014 (%)","5.595","(7.584)","2.560","-1.090","36.907",248,"4.040","(3.832)","2.557",160,"8.423","(11.133)","2.560",88,"-4.383","-0.600","0.001","***","0.018","**","0.000"
"Trade_2014","Trade 2014 (% GDP)","59.540","(25.077)","59.095","20.845","151.716",248,"56.739","(26.137)","54.637",160,"64.634","(22.274)","64.635",88,"-7.896","-0.318","0.013","**","0.000","***","0.100"
"PPP_T","PPP Total","17838.157","(35340.734)","1300.000","0.000","265100.000",248,"27649.144","(40831.955)","7050.000",160,"0.000","(0.000)","0.000",88,"27649.144","0.842","0.000","***","0.000","***","0.000"
"GB_T","Green Bond Total","9678.376","(27187.790)","0.000","0.000","180300.000",248,"15001.483","(32679.089)","762.000",160,"0.000","(0.000)","0.000",88,"15001.483","0.571","0.000","***","0.000","***","0.000"
"MIVA","Manufacturing Value Added","0.112","(0.057)","0.105","0.011","0.284",248,"0.139","(0.048)","0.129",160,"0.063","(0.036)","0.064",88,"0.076","1.713","0.000","***","0.000","***","0.002"
"DCM","Domestic Credit to Manufacturing","0.155","(0.172)","0.094","0.001","0.841",248,"0.215","(0.187)","0.128",160,"0.047","(0.029)","0.039",88,"0.168","1.110","0.000","***","0.000","***","0.000"
"GFCFM","Gross Fixed Capital Formation","195102.930","(640746.047)","1931.500","14.000","4034987.000",248,"302199.222","(777980.943)","24958.000",160,"382.398","(374.150)","263.000",88,"301816.825","0.483","0.000","***","0.000","***","0.000"
"MFDI","Manufacturing FDI","20215.371","(43057.782)","389.500","7.000","236400.000",248,"31269.975","(50333.778)","3731.500",160,"116.091","(198.792)","42.500",88,"31153.884","0.770","0.000","***","0.000","***","0.000"
