"","ln_MIVA","ln_DCM","ln_GFCFM","ln_MFDI","GDP_per_capita_2014","Population_2014","Inflation_2014","Trade_2014","PPP_T","GB_T"
"ln_MIVA",1,0.717353181755528,0.718686354985315,0.691547218548148,0.340485239441668,0.377769909652645,-0.148571671554098,-0.128916235718096,0.397877075780306,0.346437745448178
"ln_DCM",0.717353181755528,1,0.782358568383785,0.778931120720565,0.593660784229679,0.279164173738183,-0.157803377092333,-0.0735293121650263,0.549804659681124,0.380579213550628
"ln_GFCFM",0.718686354985315,0.782358568383785,1,0.959007397787028,0.669622845793504,0.588396409040571,-0.216148752545521,-0.155792073851979,0.711121962054533,0.591861899351213
"ln_MFDI",0.691547218548148,0.778931120720565,0.959007397787028,1,0.72363596786813,0.474529353215128,-0.267632686217894,-0.0362126280042182,0.652466420094328,0.555663310203704
"GDP_per_capita_2014",0.340485239441668,0.593660784229679,0.669622845793504,0.72363596786813,1,-0.000364800349076949,-0.302505554118245,0.204706411100449,0.472891524148785,0.397529191512277
"Population_2014",0.377769909652645,0.279164173738183,0.588396409040571,0.474529353215128,-0.000364800349076949,1,-0.0599296111806517,-0.233421990196192,0.495361157907851,0.562424333645712
"Inflation_2014",-0.148571671554098,-0.157803377092333,-0.216148752545521,-0.267632686217894,-0.302505554118245,-0.0599296111806517,1,-0.24573591919045,-0.175607259310469,-0.173498145206724
"Trade_2014",-0.128916235718096,-0.0735293121650263,-0.155792073851979,-0.0362126280042182,0.204706411100449,-0.233421990196192,-0.24573591919045,1,-0.229462032244364,-0.187028006573051
"PPP_T",0.397877075780306,0.549804659681124,0.711121962054533,0.652466420094328,0.472891524148785,0.495361157907851,-0.175607259310469,-0.229462032244364,1,0.61693277376443
"GB_T",0.346437745448178,0.380579213550628,0.591861899351213,0.555663310203704,0.397529191512277,0.562424333645712,-0.173498145206724,-0.187028006573051,0.61693277376443,1
