Target,Learner,R2_Y,AUC_D,Composite
ln_MIVA,RF,0.9436669679065823,1,0.9718334839532912
ln_MIVA,Lasso,0.14866895382464063,0.9487469937469938,0.5487079737858171
ln_MIVA,Ridge,0.13783932781181957,0.8492186580015335,0.4935289929066765
ln_DCM,RF,0.9124577767951224,1,0.9562288883975611
ln_DCM,Lasso,0.39827506838037185,0.9523321215183284,0.6753035949493501
ln_DCM,Ridge,0.33021927309927,0.863024648962149,0.5966219610307095
ln_GFCFM,RF,0.9896290678260943,1,0.9948145339130472
ln_GFCFM,Lasso,0.7684673640315453,0.9517030186926738,0.8600851913621095
ln_GFCFM,Ridge,0.7775100221689875,0.8516779076745343,0.8145939649217608
ln_MFDI,RF,0.9830011604027714,1,0.9915005802013857
ln_MFDI,Lasso,0.7066332465102039,0.9535946541381324,0.8301139503241681
ln_MFDI,Ridge,0.7051966813339623,0.8341601234015027,0.7696784023677326
